company_name,date_first_certified,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,geom,specific,lat,long
Diva International Inc.,2018-04-04,2018-04-04,certified,"Since 2003, Diva International Inc. has been redefining what menstruation means with comfort, health and sustainability in mind. Diva International’s flagship menstrual solution, DivaCup, leads the way in period care innovation by creating a better period experience tailored to meet individual menstrual needs. Made only of 100 percent healthcare grade silicone, the DivaCup has no added chemicals, plastics or dyes and is cruelty free. Quality is top of mind, which is why Diva International is ISO certified and compliant to the US FDA, Health Canada, Australian TGA and COFEPRIS health regulatory guidelines.

Diva International Inc. is a women-owned and led company with a commitment to “creating a future where everyone has the information, confidence, and ability to access safe, innovative solutions for menstruation” says CEO and co-founder, Carinne Chambers-Saini. As a leader in the reusable menstrual care category, Diva International empowers people everywhere to co-create a new menstrual culture where the experience of menstruation is anything but dirty or shameful. Through corporate care partnerships, product donation and menstrual health research, Diva challenges the menstrual status quo by helping girls and women make informed decisions about their menstrual needs.",Home & Personal Care,Consumer Products & Services,DivaCup® DivaWash®,Canada,Ontario,Kitchener,Wholesale/Retail, 10-49,bcorporation.net/directory/diva-international-inc,divacup.com,2018,98.7,26.1,11.2,27.3,7.7,26.4,"{'lat': 43.40314499999999, 'lng': -80.48038799999999}",1,43.40314499999999,-80.48038799999999
Myplanet,2012-10-17,2017-04-24,certified,"We partner with the world’s leading telecommunications providers and workplaces to design, build and orchestrate the experiences of our daily work.",Research & Design,Business Products & Services,"Communication and Connectivity Products, Professional Services",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 50-249,bcorporation.net/directory/myplanet,www.myplanet.com,2016,106.4,30.7,0.0,13.7,19.5,42.5,"{'lat': 43.6518153, 'lng': -79.3708426}",1,43.6518153,-79.3708426
The Women's Leadership Intensive,2020-04-15,2020-04-15,certified,"Their mission is to inspire, empower, equip and support women to lead the change the world needs. They do this primarily through their year-long women's leadership development intensive program, and also through broader, inclusive events that focus on women's leadership.",N/A ,N/A ,"Year-long leadership development intesive, coaching, events for women leaders",Canada,Ontario,Huntsville,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/the-womens-leadership-intensive,www.womensleadershipintensive.ca/,2019,94.0,40.7,35.9,9.2,8.1,,"{'lat': 45.3269323, 'lng': -79.2167539}",0,45.3269323,-79.2167539
GreenPlanet Bio-Fuels,2013-12-06,2020-05-08,certified,"Green Planet Bio-¬;Fuels Inc. is a family owned and operated business in Toronto, Ontario, Canada, for the purposes of recycling waste cooking oil from restaurants, hotels, shopping centres and food manufacturers in Southern Ontario, with all oils collected being used as the feedstock of biofuel as a clean, alternative energy source.
 
None of Green Planet’s recycled oil goes back into animal feed. 100% of our oil is recycled into biofuel, never ending up in the food chain again.

Green Planet Bio-¬;Fuels Inc. is committed to building a strong green economy in Southern Ontario, Canada and to providing a cleaner burning energy alternative to fossil burning oil.",Other Energy Generation,Energy & Environmental Services,Bio fuels,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/greenplanet-bio-fuels,greenplanetbf.com,2019,82.3,19.6,2.0,30.8,14.1,15.6,"{'lat': 43.7613688, 'lng': -79.4814892}",1,43.7613688,-79.4814892
Ethical Profit Accounting Agency,2017-11-01,2017-11-01,certified,"A full-service accounting agency in Toronto serving companies who want to make a positive difference in the world. They provide tax and HST advice, file tax and HST returns and consultations on setting up a solid accounting process to keep the CRA happy. They support businesses in being financially successful AND socially and environmentally friendly.",Accounting Services,Business Products & Services,"Accounting, taxation and bookkeeping",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/ethical-profit-accounting-agency,www.ethicalprofitagency.com,2017,81.9,52.3,9.2,13.1,7.3,,"{'lat': 43.652346, 'lng': -79.4491676}",1,43.652346,-79.4491676
Vitarock,2015-07-28,2017-08-18,certified,"Vitarock is an online wellness shop for natural health, food, and beauty products for socially-conscious shoppers with over 10,000 products from 350 brands. All brands and products are pre-screened to ensure they meet our four pillars: Pure (natural ingredients), Green (environmentally friendly), Safe (cruelty-free) and Fair (fairtrade). Vitarock is a proud Certified B Corporation®, the products they carry are close to being 100% natural. They believe in supporting brands that do their part in minimizing their impact on the environment while offering safe and exceptional quality.",Home & Personal Care,Consumer Products & Services,Personal Care Products,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/vitarock,Vitarock.com,2017,80.2,26.2,5.8,14.1,9.1,25.0,"{'lat': 43.6684957, 'lng': -79.39034819999999}",1,43.6684957,-79.39034819999999
Fair Trade Jewellery Co.,2013-03-15,2018-03-28,certified,"Every piece of jewellery tells a story. These stories are beautiful, singular and unexpected, having roots that travel much deeper than the mere circumstance of how two people met and fell in love. The jewelry that we give one another, the symbols of our unique love, isn’t just conjured from the ether. Most gems are dug out of the ground, and usually it’s a rather messy and ugly business that comes at great peril for the individuals doing the mining and for the environment. For this reason FTJCo believe it’s essential that every step a ring makes on its journey to you is accounted for.
 
All Fairtrade and Fairmined gold comes from small-scale and artisanal mines that take great pains to reduce their dependence on harmful chemicals. This is good news for the environment and for the people who live and mine in these communities. It’s not overstating things in the least to say that this gold changes the lives of those who mine it, and at FTJCo they want to make sure it’s for the better, not the worse.",Jewelry,Consumer Products & Services,Jewellery design & manufacture,Canada,Ontario,Toronto,Manufacturing, 1-9,bcorporation.net/directory/fair-trade-jewellery-co,ftjco.com,2018,106.8,44.6,0.0,22.1,11.8,28.3,"{'lat': 43.6653841, 'lng': -79.3682918}",1,43.6653841,-79.3682918
CARROT Insights Inc.,2016-01-06,2018-12-17,certified,"Social Change Rewards (SCR) is a social enterprise founded by recognized Canadian social entrepreneurs, prominent policy leaders and socially-conscious investors. Through a multi-sectorial coalition, Social Change Rewards has developed an innovative national reward platform which can encourage behavioral shifts on a mass scale. The organization's core focus is in the critical area of health and wellness promotion but its open platform design offers opportunities for a broader range of policy promotions ranging from environmental sustainability, financial and tax literacy, to civic engagement.",Consumer Rewards,Consumer Products & Services,Carrot Rewards,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/carrot-insights-inc,www.carrotinsights.com,2018,83.5,17.3,11.2,7.4,18.8,28.7,"{'lat': 43.6519933, 'lng': -79.3782507}",1,43.6519933,-79.3782507
Shared Value Solutions,2014-04-17,2019-08-06,certified,"Shared Value Solutions believe shared value is real. They believe that uncovering opportunities to create shared value meets real needs, and can improve lives in tangible and intangible ways. Aiming to create shared value in every project will continue to be their focus. With that aim in mind, they search for common ground, for constructive dialogue and understanding, for ways to help people foster trusting alliances. In short, they are honest brokers of relationships between potential but sometimes unlikely partners.
 
 Shared Value Solutions strive to continuously extend the reach of their shared value outcomes - beyond the artificial boundaries of processes or programs - to create benefits that matter and make sense for their community and private sector clients. They strive to think and work holistically, to understand the wider context of the work they do, and to understand where their work fits within their clients' project or program cycles.",Sustainability Consulting,Business Products & Services,Shared Value Consulting,Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/shared-value-solutions,sharedvaluesolutions.com,2018,93.7,23.1,0.0,24.9,16.9,28.7,"{'lat': 43.5473114, 'lng': -80.252106}",1,43.5473114,-80.252106
HiMama Inc,2018-03-29,2018-03-29,certified,HiMama is a social purpose business that connects families with the early childhood professionals who serve them. These relationships improve developmental outcomes for children aged zero to five.,IT Software & Services/Web Design,Business Products & Services,HiMama Child Care App,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/himama-inc,www.himama.com,2017,81.9,18.1,15.6,4.3,9.4,34.5,"{'lat': 43.6706947, 'lng': -79.38250819999999}",1,43.6706947,-79.38250819999999
Good & Well,2017-01-10,2017-01-10,certified,Good & Well was created to support for-profit social purpose business in the GTA and Canada.,Equity Investor - Developed Markets,Financial Services,Investment Firm,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/good-well,goodandwell.ca,2016,101.3,30.4,25.5,7.8,6.2,31.4,"{'lat': 43.7609535, 'lng': -79.4103841}",1,43.7609535,-79.4103841
"rTraction Canada, Inc.",2016-02-23,2018-02-20,certified,"rTraction Canada, Inc. is an award-winning digital services agency located in the London Roundhouse. 
Incorporated in July 2001, they started as a team of coders that built websites and applications to help clients get their messaging out. From early on, they worked alongside social purpose organizations (nonprofits, social enterprises, and for profits that do good), helping those that provide impact to do what they do best while we focused on solving the technical problems, from hosting to websites to systems behind the scenes. Like any digital agency, they know their way around technology and they believe in returning good value to clients. There are a few things that make them a little different than your average digital production house:

They focus on improving community outcomes; improving the community they serve is more important than maximizing profit.

They know that with real, lasting change, there is tension. They aren't afraid of it... in fact, they welcome it.

They are committed to helping smooth out the bumps in the process of change to keep it productive, and they confirm that's what they're doing in every meeting.",IT Software & Services/Web Design,Business Products & Services,Design thinking for measurable change.,Canada,Ontario,London-Ontario,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/rtraction-canada-inc,www.rtraction.com,2017,86.0,23.7,4.4,9.8,16.7,31.4,"{'lat': 42.981413, 'lng': -81.239624}",1,42.981413,-81.239624
Laridae Communications Inc.,2018-02-16,2018-02-16,certified,"Laridae is a full service management consulting firm. Serving exclusively non profits, charities, associations, and the public sector, they've worked with over 120 organizations in strategy, planning, communications, human resources and governance.",Nonprofit Consulting & Fundraising,Business Products & Services,"Strategy, planning, communications, human resources, and governance.",Canada,Ontario,Peterborough,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/laridae-communications-inc,laridaemc.com,2018,93.8,21.9,24.4,4.0,11.6,31.9,"{'lat': 44.3030605, 'lng': -78.3247823}",1,44.3030605,-78.3247823
Xocial,2019-09-23,2019-09-23,certified,"Xocial is an impact gamification platform that measures and inspires positive impact. XO = social impact score. Customize challenges to align with company goals and values. Mobilize your team and/or customers to reach social and environmental targets. The fun part? Photo and video submissions along with leaderboards to showcase top participants. Incentivize players with prizes; ""rewards for doing good""",IT Software & Services/Web Design,Business Products & Services,Impact gamification platform,Canada,Ontario,Binbrook,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/xocial,www.xocial.com,2018,80.1,26.3,,12.2,15.4,26.1,"{'lat': 44.0712499, 'lng': -79.4324999}",1,44.0712499,-79.4324999
STEM Minds Corp,2019-11-01,2019-11-01,certified,"STEM MINDS was incorporated in March 2016 to inspire youth, develop their skills, and prepare them to become the next generation of leaders, game changers, and problem solvers. STEM (Science, Technology, Engineering, Math) not only helps build critical technical skills in high demand jobs, but also develops creativity, innovation, and problem-solving skills, all of which are required to thrive in the ever-changing landscape of today’s market. Art is embedded in everything related to STEM so they consider that a foundation to build upon! They offer the best in STEM programs through project-based learning experiences that expose youth to the skills, tools, and technologies necessary for success in the 21st century. They provide an authentic, holistic, one-of-a-kind experience for youth, grounded in expertise from a team well versed in the fields of both Education and STEM. The STEM Minds Corp team is dedicated to providing high-quality, personalized experiences targeted to individual learning needs and interests to engage youth and promote their growth. Their goal is to ensure all youth have access to the best in STEM so they can discover their passions, reach their goals and dreams, and be a part of a new generation of #fearlesslearning!",Education & Training Services,Education & Training Services,In-Person-STEM-Programming; Online Learning platform; Education Services,Canada,Ontario,Aurora,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/stem-minds-corp,www.stemminds.com,2019,80.6,18.4,15.7,4.4,17.5,24.4,"{'lat': 44.0176637, 'lng': -79.44970339999999}",1,44.0176637,-79.44970339999999
Benefect Corp,2018-09-14,2018-09-14,certified,Benefect Corp. (www.Benefect.com) is a world recognized leader in next-generation botanical antimicrobial technology. Their Active Ingredient is highly specialized Thyme Oil that has been grown & blended to exacting specifications. Their full line of disinfectants and cleaning products are formulated for the Professional Restoration/Remediation Contractor.,Other,Consumer Products & Services,Authentically botanical cleaners and disinfectants.,Canada,Ontario,Hamilton,Wholesale/Retail, 1-9,bcorporation.net/directory/benefect-corp,benefect.com,2018,92.3,24.8,0.0,30.2,8.8,28.3,"{'lat': 43.2741516, 'lng': -79.864071}",1,43.2741516,-79.864071
Marigold Capital,2018-09-16,2018-09-16,certified,"Marigold Capital provides impact investing and gender lens investing strategies, execution and management for private market funders. 

Marigold has facilitated the investment of over $120 million risk-adjusted impact dollars en route to using capital to create a more equitable and prosperous society, and not make concessions, trade-offs or subsidies.

They aim to provide a(n impactful!) return on your investment. They consider market and environmental factors, types of impact sought, capital types and amounts, liquidity and exit scenario timelines, financial instruments and return expectations – and integrate a theory of change and impact strategy with investment and impact metrics management to make it happen.",Equity Investor - Developed Markets,Financial Services,Early stage private market investing focusing on social justice outcomes.,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/marigold-capital,marigold-capital.com,2018,95.3,24.0,54.4,7.0,9.7,,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Ozery Family Bakery,2019-07-02,2019-07-02,certified,"Based in Toronto, serving North America, Ozery Family Bakery sells branded products to the natural, national grocery, and food service markets.

Since 1996, our family has been inventing alternatives to traditional bread products that are made from hearty whole grains, fruits, and seeds. You may recognize us as “Pita Break,” a small bakery founded by Al Ozery and his son Alon that emerged from within our sandwich shop in downtown Toronto. Soon after, Guy joined his father and brother and a family business was born.

Demand grew and in 1998 we began selling our flat breads to local specialty and health food stores in the Greater Toronto Area (GTA). Not long after, we opened our commercial bakery to support requests for products in Ontario, Quebec, and within the United States.

In 2016, our business turned twenty years old!  To coincide with our 20th anniversary, we decided to put our family name on everything we make, and thus, Ozery Family Bakery was born. Consider it our personal pledge that everything we make has only the most nutritious and delicious ingredients in it. No GMOs. No artificial preservatives. No mysterious ingredients you can’t pronounce.",Food & Beverage,Consumer Products & Services,"Various bread products such as Morning Rounds, Snacking Rounds, & OneBuns",Canada,Ontario,Vaughan,Manufacturing, 50-249,bcorporation.net/directory/ozery-bakery,ozerybakery.com,2018,89.1,22.6,,33.9,11.4,21.1,"{'lat': 43.7732816, 'lng': -79.53979559999999}",1,43.7732816,-79.53979559999999
Tiffinday Inc.,2014-01-15,2019-11-18,certified,Tiffinday Inc. is boutique business that sells 100% plant based meals made with ingredients and processes that are gentle on the earth's environment.,Food & Beverage,Consumer Products & Services,Retail sales of ready to eat curries,Canada,Ontario,Toronto,Wholesale/Retail, 0,bcorporation.net/directory/tiffinday-inc,tiffinday.com,2019,81.9,49.8,2.3,11.5,18.2,,"{'lat': 43.672609, 'lng': -79.3211209}",1,43.672609,-79.3211209
Green Circle Salons,2019-03-05,2019-03-05,certified,"Green Circle Salons provides the world’s first, and North America’s only, sustainable salon solution to recover and repurpose beauty waste ensuring that we can help keep people and the planet beautiful.

Green Circle Salons is able to transform beauty waste into a desirable commodity through an award-winning platform built by the industry, for the industry. Their turnkey program allows salons to repurpose and recover up to 95% of the resources that were once considered waste; materials such as hair, leftover hair color, foils, color tubes, aerosol cans, paper and plastics.

Their platform is designed to support salons in four key areas; to be green, to build recurring revenue, to gain clients, and to save money. They do this in a way that is simple, open and honest - everyone is involved, and everyone wins.

Today more than ever, consumers vote with their dollars and channel spending into responsible brands that support healthy communities. Literally overnight, Green Circle Salons' program adds layers of value that enhance both customer and staff experience, and publicly position our member salons as responsible stewards of the planet.",Home & Personal Care,Consumer Products & Services,"Recycling, repurposing and reusing salon waste.",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/green-circle-salons,greencirclesalons.com,2018,81.9,9.8,,36.5,7.0,28.5,"{'lat': 43.73436570000001, 'lng': -79.4468543}",1,43.73436570000001,-79.4468543
Green Living Enterprises,2012-01-19,2018-03-22,certified,"A leading cause-marketing agency for more than 18 years, Green Living Enterprises connect conscientious consumers to brands that stand for more than maximizing profits, who understand the importance of sustainability and who strive to spread this message.

Their team is led by award-winning industry experts in the fields of brand and program development; custom content; advertising, marketing and communications; and event management.",IT Software & Services/Web Design,Business Products & Services,"Marketing, Communications & Event Services",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/green-living-enterprises,www.GreenLivingEnterprises.ca,2018,106.8,30.0,0.0,23.6,16.4,36.8,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
The Good Partnership Inc.,2019-12-05,2019-12-05,certified,"The Good Partnership is a mission-driven consultancy deeply rooted in the values of the social-good sector. They unlock the potential of small charities and celebrate their contribution to the well-being of their local and global communities. They do this by implementing fundraising and systems strategies. Also known as “interim fundraising” or “outsourced fundraising” they take ownership and responsibility for getting your fundraising done and can also re-design and implement new digital systems and processes to save you time, money, and frustration.",Nonprofit Consulting & Fundraising,Business Products & Services,Fundraising strategy and implementation; Systems strategy and implementation.,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/the-good-partnership-inc,www.thegoodpartnership.com,2019,89.8,21.3,29.9,3.4,7.4,27.8,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Link2Feed Inc,2014-04-29,2019-04-01,certified,"Link2Feed is a social purpose (for-profit) business that believes we can’t end hunger if we don’t understand it. 
 
 With Link2Feed’s outcomes-based reporting tools food banks, and their governing bodies, can make more strategic decisions about how to tackle hunger locally, regionally and globally.
 
 Changing the world isn’t easy; it requires an ongoing commitment to improvement and a dedication to meeting the highest standards of social impact. Being a B Corp allows us to demonstrate our commitment to social change and join a community of organizations who are redefining what it means to be successful in business.
 
 Hunger in developed nations is a hidden problem: most people can’t believe that in developed countries so many people are plagued with hunger.",IT Software & Services/Web Design,Business Products & Services,Food Bank Management Software,Canada,Ontario,Sarnia,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/link2feed-inc,www.link2feed.com,2018,126.4,23.5,46.1,2.3,19.8,34.5,"{'lat': 43.0003785, 'lng': -82.3563035}",1,43.0003785,-82.3563035
Propeller Coffee Co,2017-04-07,2017-04-07,certified,"Propeller Coffee Co is an award winning, specialty roaster. Passionate about sustainably sourcing and roasting the world's best coffees and partnering with their customers to serve great coffees to theirs. They live and work in an amazing community and love their industry.",Food & Beverage,Consumer Products & Services,"Coffee roaster, training, consulting, cafe and event space.",Canada,Ontario,Toronto,Manufacturing, 10-49,bcorporation.net/directory/propeller-coffee-co,www.propellercoffee.com,2017,83.2,27.2,0.0,24.6,14.1,17.3,"{'lat': 43.6593989, 'lng': -79.4449065}",1,43.6593989,-79.4449065
Raw Signal Group,2019-11-18,2019-11-18,certified,Raw Signal Group builds better bosses. Management and leadership training for leaders in growing organizations. No trust falls. No personality tests. Just the concrete skills you need to do hard things.,Management and Financial Consulting,Business Products & Services,Management and leadership training for leaders in growing organizations.,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/raw-signal-group,www.rawsignal.ca,2019,80.2,16.0,6.8,8.3,14.7,34.2,"{'lat': 43.6505912, 'lng': -79.35991779999999}",1,43.6505912,-79.35991779999999
Sustainable,2019-07-19,2019-07-19,certified,"A full-service architecture and building science firm focused on the design of healthy, high-performance buildings that reduce carbon emissions and generate positive environmental change.",Architecture/Design/Planning,Building,Architecture and Building Science,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/sustainable,www.sustainable.to,2018,81.7,17.2,,18.1,9.5,36.7,"{'lat': 43.6699168, 'lng': -79.4185165}",1,43.6699168,-79.4185165
REfficient Inc.,2012-10-17,2019-09-12,certified,"Founded in 2010, REfficient is an award-winning entrepreneurial company, providing a marketplace to source quality Telecom, IT and A/V equipment cost-effectively and sustainably. Customers can buy the surplus inventory of other companies, and resell and recycle products through REfficient and receive sustainability reporting. Their goal is to ensure reusable products stay out of the waste stream and end-of-life products are recycled responsibly.",Storefront,Retail,Reuse marketplace for businesses,Canada,Ontario,Hamilton,Wholesale/Retail, 1-9,bcorporation.net/directory/refficient-inc,www.REfficient.com,2019,100.4,18.6,0.5,43.3,14.1,23.7,"{'lat': 43.2664948, 'lng': -79.8289739}",1,43.2664948,-79.8289739
"Beau's All Natural Brewing Company, Ltd.",2013-10-18,2018-10-22,certified,"Since 2006 Beau’s Brewing Co. has been brewing interesting, tasty beers using the best ingredients & local spring water. Their family takes pride in creating unique, wonderful and certified organic craft beer, conceived with honest consideration for the environment and their local communities, and delivered with a true sense of friendly relationship.",Food & Beverage,Consumer Products & Services,All Natural Brewery,Canada,Ontario,Vankleek Hill,Manufacturing, 50-249,bcorporation.net/directory/beaus-all-natural-brewing-company-ltd,beaus.ca,2018,124.4,25.3,0.0,39.0,13.7,46.2,"{'lat': 45.5169034, 'lng': -74.6372445}",1,45.5169034,-74.6372445
Wehl Inc.,2019-06-18,2019-06-18,certified,"Wehl is a social platform for wellness. Its mission is to use the power of social support to inspire wellness and spread good -- a hub bringing real people, wellness professionals, businesses and non-profits together! Wehl includes features that support members to make healthier choices and sustain wellness habits. As a mobile-friendly application built with healthy design principles, Wehl facilitates a new, healthier relationship with technology.

Wehl promotes a proactive, holistic approach to wellness with goals of improved health outcomes and decreased likelihood of illness, enabling healthier lives. Being part of the B Corp movement and as a member of 1% for the Planet, Wehl is committed to giving back to local and international organizations that bring wellness to people in need and the planet.",N/A ,N/A ,Social Platform for Wellness,Canada,Ontario,Waterloo,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/wehl-inc,wehl.com,2018,94.1,66.4,9.3,0.0,18.4,,"{'lat': 43.4642578, 'lng': -80.5204096}",0,43.4642578,-80.5204096
The Heritage Bee Co.,2018-02-02,2018-02-02,certified,"The Heritage Bee Co. makes beekeeping a possibility through their hive hosting solutions. They practice organic management of our bees, using no synthetic chemicals and/or antibiotics for pest and disease management.",Growers,Agriculture,"Hive hosting, CSA (Community Supported Agriculture), Raw Honey, Seed Bombs",Canada,Ontario,Mulmur,Service with Significant Environmental Footprint, 0,bcorporation.net/directory/the-heritage-bee-co,www.heritagebee.com,2017,89.5,49.2,0.0,30.6,9.7,,"{'lat': 44.1698421, 'lng': -80.0387976}",0,44.1698421,-80.0387976
McCabe Promotional,2019-12-20,2019-12-20,certified,"McCabe doesn't just put logos on products. They help brands tell their story.

McCabe has assembled the most talented and creative minds in a range of fields from graphic design, embroidery, ecommerce, marketing and sales. The capabilities of their warehouse and fulfillment range across Canada and beyond. They have fostered relationships with the best suppliers and some of the most well known brands in the world.

At the same time, McCabe is family-owned and operated. This means they are small enough to put a premium on relationships and aim to make people feel special with every interaction. As a result, their clients benefit from a unique blend of corporate x boutique. They understand their clients stories and use their expertise to help them tell it with products that are creative, trending, and useful. The kind of merchandise people are proud to own and show off.

With every action McCabe takes, they strive to be thoughtful and respectful of everyone who is impacted by their business. This approach extends to how they engage with their team,  source products, treat the environment and give back to the community. They hope to demonstrate that thoughtful marketing strategies are not only sustainable, but also a more impactful and engaging option for brands to tell their story.",Home & Personal Care,Consumer Products & Services,"Branded Merchandise, Decoration, E-Commerce Solutions & Fulfillment",Canada,Ontario,London,Wholesale/Retail, 50-249,bcorporation.net/directory/mc-cabe-promotional,www.mccabepro.com,2019,82.8,17.6,8.8,16.4,13.8,26.0,"{'lat': 45.4565194, 'lng': -75.58182939999999}",1,45.4565194,-75.58182939999999
Northern Village Inc,2018-08-10,2018-08-10,certified,"Northern Village actively engages a ""Village Approach” to business, to provide easily updated website services to serve a diverse ""village” of clients",IT Software & Services/Web Design,Business Products & Services,"Websites, Design, Web Service Mentoring, Web Implementation for Creatives",Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/northern-village-inc,northernvillage.com,2018,84.1,38.0,9.5,5.8,6.2,24.5,"{'lat': 43.5450497, 'lng': -80.2452284}",1,43.5450497,-80.2452284
Cathexis Consulting Inc,2019-08-14,2019-08-14,certified,"Cathexis is a full-service, independent evaluation firm, providing expert, client-focused evaluations that help organizations and their programs measure success and make change for the better. Services include program evaluation and social impact evaluation. Cathexis has been providing high quality evaluation services to government, not-for-profit and private sector clients across Canada since 2001.",Management and Financial Consulting,Business Products & Services,"Impact evaluation,  Program evaluation,  Social impact measurement & assessment",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/cathexis-consulting-inc,cathexisconsulting.ca,2019,99.9,17.4,36.7,6.3,7.5,31.7,"{'lat': 43.6705364, 'lng': -79.3839425}",1,43.6705364,-79.3839425
FlipGive,2009-02-19,2019-02-05,certified,Provider of a digital platform that connects brands to the $200 billion fundraising market; converting customers into a salesforce to raise money. FlipGive's give-marketing programs help brands drive sales and create positive social impact in their communities.,IT Software & Services/Web Design,Business Products & Services,Give-Marketing Platform and Programs,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/flipgive,flipgive.com,2018,80.5,7.1,28.8,4.1,13.5,26.8,"{'lat': 43.6431718, 'lng': -79.39028549999999}",1,43.6431718,-79.39028549999999
Bullfrog Power,2011-11-21,2017-12-20,certified,"Bullfrog Power is a Canadian business with a conscience. The organization’s mission is to provide Canadians with easy and practical 100% renewable energy solutions for their homes, businesses and transportation that empower them to create a sustainable world for future generations. A double-bottom line organization, Bullfrog Power donates 10% of its profits to organizations that support sustainability. In Bullfrog’s view, this is business as it should be—good for society as well as its shareholders.
 
Bullfrog's green electricity comes exclusively from wind and hydro facilities that have been certified as low impact by Environment Canada under its EcoLogoM program—instead of from polluting sources like coal, oil, natural gas and nuclear. A clean, renewable alternative to fossil-fuel based natural gas, Bullfrog's green natural gas is produced in Canada from biogas facilities that have met strict environmental criteria as defined by ICF International. By choosing Bullfrog Power's green energy, homes and businesses can reduce their environmental impact, support the development of new renewable generation in Canada and help to create a cleaner world for today and tomorrow.",Renewable Energy Generation & Installation,Energy & Environmental Services,Renewable Energy Provider,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/bullfrog-power,www.bullfrogpower.com,2017,112.0,19.8,0.0,39.4,19.4,33.4,"{'lat': 43.65127469999999, 'lng': -79.3893945}",1,43.65127469999999,-79.3893945
MediaStyle Inc,2015-10-29,2017-12-12,certified,"MediaStyle is a strategic communications and public affairs agency. MediaStyle is a multidisciplinary team of passionate storytellers and innovators using interactive and social media to shape the digital landscape. The MediaStyle team uses a digital-first approach to craft strategy, create content, and build communities of action both online and off to deliver measurable results.
 
MediaStyle takes a different approach to communications. MediaStyle believes in creating communications experiences, finding solutions to some of Canada’s toughest communications challenges in new and exciting ways. A full-service agency, MediaStyle creates innovative and effective campaigns for some of Canada’s leading labour unions, national level associations, advocacy groups and other organizations dedicated to making Canada a better place.
 
“Communications for change” is a notion driving all of MediaStyle’s work. MediaStyle is a social enterprise working to make Canada a better place. The clients MediaStyle seeks out include national associations and institutions, NGOs, not-for-profits, unions, small businesses, and Indigenous organizations.",IT Software & Services/Web Design,Business Products & Services,Communications Agency,Canada,Ontario,Ottawa,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/mediastyle,www.mediastyle.ca,2017,104.3,25.5,19.2,6.6,17.1,35.9,"{'lat': 45.4192838, 'lng': -75.6995358}",1,45.4192838,-75.6995358
